"","Area","Velocity","Points","Class","State"
"599",0.336269908,0.422757595,0.049180328,4,NA
"600",0.420326235,0.428158189,0.442622951,4,NA
"601",0.16669985,0.396875304,0.085245902,4,NA
"602",0.327272234,0.430999874,0.26885246,4,NA
"603",0.298821812,0.439820459,0.226229508,4,NA
"604",0.176635677,0.433543717,0.016393443,4,NA
"605",0.053019851,0.455548241,0.180327869,4,NA
"606",0.205780555,0.431898042,0.006557377,4,NA
"608",0.047966723,0.444266098,0.04590164,4,NA
"609",0.389300271,0.41424992,0.462295083,4,NA
"610",0.172277802,0.535736637,0.180327869,4,NA
"611",0.141044297,0.516641015,0.147540984,4,NA
"612",0.111898144,0.551298692,0.147540984,4,NA
"613",0.143058221,0.491143489,0.114754099,4,NA
"614",0.188388876,0.461717204,0.209836066,4,NA
"615",0.256238562,0.386030077,0.2,4,NA
"616",0.134306953,0.405919561,0.039344263,4,NA
"617",0.052873314,0.322968287,0.026229509,4,NA
"618",0.027205656,0.405592744,0.019672132,4,NA
"621",0.050896024,0.470511132,0.06885246,4,NA
"622",0.141190834,0.642267415,0.311475411,4,NA
"623",0.186886875,0.583461201,0.190163935,4,NA
"624",0.193404573,0.566196683,0,4,NA
"627",0.220142746,0.465944965,0.131147541,4,NA
"628",0.21647455,0.450593833,0.147540984,4,NA
"629",0.193113093,0.497473542,0.147540984,4,NA
"630",0.031855807,0.490437703,0.062295083,4,NA
"631",0.100924933,0.388467297,0.131147541,4,NA
"632",0.20228438,0.483996393,0.095081968,4,NA
"634",0.257694372,0.450400293,0.196721312,4,NA
"635",0.103386591,0.617672691,0.196721312,4,NA
"636",0.132056818,0.609800108,0.2,4,NA
"637",0.182253448,0.423680099,0.173770492,4,NA
"639",0.214544087,0.471208806,0.144262296,4,NA
"640",0.145861055,0.386210869,0.085245902,4,NA
"641",0.22579078,0.444474705,0.062295083,4,NA
"642",0.171296643,0.392447048,0.144262296,4,NA
"643",0.28279197,0.335269126,0.137704919,4,NA
"644",0.104545027,0.37647705,0.186885247,4,NA
"646",0.324736513,0.452974267,0.314754099,4,NA
"647",0.047976758,0.376253379,0.121311476,4,NA
"648",0.150253174,0.422429618,0.127868853,4,NA
"649",0.094408988,0.375941627,0.160655739,4,NA
"650",0.167532879,0.473692384,0.118032788,4,NA
"651",0.08470746,0.492776415,0.278688525,4,NA
"652",0.10304876,0.439362684,0.150819672,4,NA
"653",0.097063691,0.643382301,0.360655738,4,NA
"655",0.207545366,0.563306323,0.085245902,4,NA
"657",0.236215594,0.698128798,0.098360656,4,NA
"660",0.160534158,0.534854693,0.088524591,4,NA
"661",0.126795831,0.482130522,0.13442623,4,NA
"662",0.159326823,0.553665218,0.170491804,4,NA
"663",0.139634678,0.616292411,0.183606558,4,NA
"664",0.193837812,0.568578276,0.091803279,4,NA
"665",0.310449183,0.480023596,0.236065575,4,NA
"666",0.183073735,0.595906906,0.26885246,4,NA
"667",0.043681002,0.663166324,0.114754099,4,NA
"668",0.095326116,0.608987702,0.13442623,4,NA
"669",0.108454531,0.554661895,0.131147541,4,NA
"670",0.089727139,0.594546327,0.13442623,4,NA
"671",0.04836285,0.624138338,0.157377049,4,NA
"672",0.120955547,0.558509529,0.259016394,4,NA
"673",0.163139963,0.548564786,0.13442623,4,NA
"674",0.116128914,0.58863001,0.390163935,4,NA
"675",0.327342318,0.628398549,0.114754099,4,NA
"676",0.227044307,0.646023493,0.272131148,4,NA
"677",0.256487037,0.581817845,0.22295082,4,NA
"678",0.102131631,0.598670944,0.121311476,4,NA
"679",0.219032571,0.531009378,0.196721312,4,NA
"680",0.155803889,0.512976492,0.203278689,4,NA
"681",0.174096768,0.506616307,0.173770492,4,NA
"682",0.317158016,0.547480032,0.13442623,4,NA
"683",0.0701793,0.44025042,0.104918033,4,NA
"684",0.264113317,0.456504355,0.209836066,4,NA
"685",0.15392153,0.586481362,0.216393443,4,NA
"686",0.285977551,0.536473713,0.419672131,4,NA
"687",0.137447139,0.622793985,0.154098361,4,NA
"688",0.051351562,0.579875485,0.065573771,4,NA
"689",0.028203062,0.668160135,0.144262296,4,NA
"690",0.112812087,0.63733155,0.091803279,4,NA
"691",0.091702199,0.563098874,0.088524591,4,NA
"692",0.116804576,0.590288433,0.072131148,4,NA
"693",0.052710691,0.587250888,0.06885246,4,NA
"694",0.036400517,0.564666902,0.075409836,4,NA
"695",0.08792203,0.557033057,0.255737705,4,NA
"696",0.042899102,0.508977039,0.173770492,4,NA
"697",0.106865564,0.560750891,0.118032788,4,NA
"698",0.024210414,0.61174015,0.04590164,4,NA
"699",0.039246355,0.568199307,0.06885246,4,NA
"700",0.041115177,0.562740766,0.04590164,4,NA
"701",0.052243525,0.621329103,0.140983607,4,NA
"702",0.079851838,0.612576894,0.04590164,4,NA
"703",0.028457908,0.685446673,0.072131148,4,NA
"704",0.022426489,0.450060727,0.062295083,4,NA
"705",0.04481045,0.521155031,0.049180328,4,NA
"706",0.077006159,0.562209978,0.059016394,4,NA
"707",0.064731001,0.60329274,0.036065574,4,NA
"708",0.044088438,0.521783169,0.042622952,4,NA
"709",0.101938585,0.571927571,0.06885246,4,NA
"711",0.16284689,0.691619112,0.04590164,4,NA
"712",0.013889132,0.663880222,0.114754099,4,NA
"713",0.033002617,0.665310337,0.049180328,4,NA
"714",0.021109729,0.589543244,0.055737705,4,NA
"715",0.019835497,0.528107428,0.085245902,4,NA
"716",0.086775221,0.569388365,0.140983607,4,NA
"717",0.124152755,0.513033279,0.183606558,4,NA
"718",0.158599395,0.634501453,0.298360656,4,NA
"719",0.170874553,0.761095555,0.180327869,4,NA
"721",0.04952511,0.562645734,0.157377049,4,NA
"722",0.006116315,0.74595303,0.137704919,4,NA
"723",0.075264602,0.709924345,0.13442623,4,NA
"724",0.144837687,0.642559464,0.104918033,4,NA
"727",0.079299778,0.629945716,0.06885246,4,NA
"728",0.116294883,0.555172981,0.065573771,4,NA
"730",0.181832952,0.547170599,0.432786886,4,NA
"731",0.218785688,0.550770222,0.121311476,4,NA
"732",0.214792563,0.559471437,0.291803279,4,NA
"733",0.086520374,0.721776679,0.06885246,4,NA
"734",0.035593609,0.554805602,0.049180328,4,NA
"735",0.006328682,0.422151476,0.072131148,4,NA
